業界,概要文
ホテル・旅館業界の会社,富士見高原ゴルフコースや富士見高原スキー場などが敷地内にあり、一般客の宿泊以外にも合宿等の団体にも対応している。「花の里」や富士見高原ハイキングコースのガイドなどのレジャーサービスの提供も行う。宿泊施設は「ホテル八峯苑」「ジュネス八ヶ岳カ」、ドッグラン付き貸別荘や富士見高原貸別荘など数か所用意。
ゴルフ場業界の会社,シャトレーゼホールディングスの関連会社であり、甲斐市にてゴルフ場「昇仙峡カントリークラブ」を運営している。コース運営のほか、クラブハウスやレストラン、ラウンジの運営も行う。
美容サロン業界の会社,表参道および南青山にてヘアサロン「ACQUA」の運営を行う。また、ウェディング用ヘアメイクの出張サービスも手掛ける。その他、講演会および講習会の講師やファッション誌やCMなどのヘアメイクなども手掛ける。
高齢者向け福祉業界の会社,神奈川県相模原市を中心に、ホームヘルパー派遣などの訪問介護サービスを提供する。食事や入浴などの身体介助に加え、掃除や洗濯、安全確認などの生活援助も行う。
自動車部品・カー用品製造業界の会社,自動車や建設機械および産業機械の電子電気部品、樹脂成型品などの製造ならびに卸売を行う。また、建設機械用コンソ－ルボックスの組立や、油圧ショベル・移動式クレ－ン用運転席の組立を行う。電気部品をメインに、板金と複合した加工生産を得意としている。
ゴルフ場業界の会社,アヤハグループの系列として、「ジャパンエースゴルフ倶楽部」や「朝日野カントリー倶楽部」といったゴルフ場の運営を行っている。また、ゴルフ場施設内のレストランやコンペルーム、ならびに浴室などの運営も手掛ける。その他、ゴルフ用品の販売などにも対応。
警備業界の会社,埼玉県川口市に拠点を置き、ビルや施設、建築現場の常駐警備を請け負っている。また、建築現場などにおける交通誘導警備や雑踏警備も行う。その他、建築施工管理をはじめ、建築コンサルティングや防犯機器の販売および取付工事を行う。クレオン株式会社のグループ企業である。
ゴルフ場業界の会社,福岡県朝倉郡にてゴルフ場「夜須高原カントリークラブ」の運営を行う。また施設には、和洋中華料理や飲み物を提供するレストランがある。
自動車部品・カー用品製造業界の会社,タイヤやホイールおよびカー用品を販売する「タイヤ一番」の運営を行う。Webでの販売にも対応しており、タイヤとホイールのセット商品の他、ブレーキパッドやフロアーマットなど各種自動車パーツの販売も手掛けている。
高齢者向け福祉業界の会社,「ヘルパーハウス茨木」などを運営し、訪問介護及び訪問看護を手掛けている。また、通所介護施設「デイサービスかなで」を運営するほか、居宅介護支援も行う。他に、高齢者向けシェアハウス「アルテローゼン」なども運営している。
高齢者向け福祉業界の会社,青森県つがる市にてグループホーム「ぬくもりの家」や「きづくり」の運営を手掛けている。要介護支援2以上のつがる市住民票を持つ人を入居対象としており、食事介助や入浴介助、排泄介助を行う。
Webサービス・アプリ運営業界の会社,ビジュアルマーケティングツール「visumo」の運営を手掛ける。Instagramへユーザーが投稿した写真や動画を、自社サイトに活用できる点が特徴。また「visumo video」ではYoutubeやIGTVなどの動画データをサイトに実装できるサービスを提供している。
ホテル・旅館業界の会社,「ブライトンホテル」などをホテル運営を行っている。また、「東京ディズニーリゾート・パートナーホテル」や「ディズニーホテル」も手掛けている。その他、試食見学会の開催や、ブライダルプランの提供などのブライダル事業の展開。
タクシー業界の会社,第一交通産業株式会社のグループ会社として、タクシー事業を手掛ける。また、大型バスやマイクロバスなどを所有し、貸切バス事業を展開する。
自動車部品・カー用品製造業界の会社,青木精機工業株式会社の子会社である。ターボチャージャー用部品やトランスミッション用部品を、切削加工や熱処理によって製造する。また、電動パワーステアリング用部品であるトーションバーの製造にも対応する。
金属部品製造業界の会社,机の引き出しなどに使われるスライドレールの設計から製造及び卸売までを手掛ける。また、太陽電池モジュールとその関連システムの設計や製造および卸売も手掛ける。
自動車部品・カー用品製造業界の会社,愛知県刈谷市において、自動車部品や試作部品などの製造を手掛けている。その他、治工具の設計および製造を行う。また、金属切削加工をはじめ、レーザー加工や油圧プレス等に対応。
居酒屋・バー業界の会社,大阪府の梅田を中心に、居酒屋や焼き肉店ならびに寿司屋といった飲食店の経営を行う。居酒屋「魚頂天酒場まつり」「炭火焼diningおかげ家」、寿司屋「鮨仙酢」「寿司赤酢」などの店舗を手掛けている。
居住用リフォーム業界の会社,マンションの大規模修繕工事を手掛けており、建物の外壁の塗装や防水工事などの補修および改修工事を行う。また、集合住宅や戸建住宅の水廻り設備など内装リフォーム工事も請け負う。その他、マンションの間取り変更やフロアーコーティングといったリフォーム工事に対応する。
高齢者向け福祉業界の会社,「武術体操」によりリハビリを行うデイサービスや、老人ホームの運営を行っている。また、住宅建築を行っており、バリアフリー住宅の設計および施工を手掛ける。その他、美容や健康食品のWeb販売や「上小松クリニック」にて診療を行う。さらに、福祉用具のレンタル及び販売も請け負う。
Webサービス・アプリ運営業界の会社,主に、日用品や食品の価格比較サイトの運営を行っている会社。また商品の自動購入サービスの開発・運営も手掛ける。その他、日用品や食品の通販商品の価格データやマーケティングデータの分析、日用品・食品通販に関するコンサルティング業務も提供する。
高齢者向け福祉業界の会社,居宅介護の事業所「ホームヘルプサービスみどり」を運営している会社。また、大阪市内で高齢者向け住宅を複数手がけている。
警備業界の会社,主に、常駐警備として施設の出入管理業務や巡回警備業務を行う。また、ショッピングセンターといった商業施設や工事現場の駐車場における交通誘導警備業務も手掛ける。その他、イベントや店舗のオープン時などの雑踏警備にも対応している。
タクシー業界の会社,燃料販売や酒類販売、およびITや通信事業、そしてバスとタクシー事業を展開するマルイチグループ傘下の企業である。小名浜地域のタクシー事業を担当する。
ホテル・旅館業界の会社,宿泊施設「旅館たにがわ」と「別邸 仙寿庵」の運営を手掛ける。いずれの旅館も政府登録国際観光旅館として認定されており、「旅館たにがわ」に関しては太宰治が執筆活動をした旅館として知られている。
警備業界の会社,直接的な施設の警備をはじめ巡回警備や交通誘導などを行う。また、ビル内の清掃をはじめ設備点検や植栽管理などの環境整備を行うビルメンテナンスを行なっている。そのほか、公共施設の管理を官民共同で行うPPP事業やオフィスなどを管制センターより24時間365日監視する遠隔監視を行う。
高齢者向け福祉業界の会社,訪問看護「ケアーズ港南台訪問看護リハビリステーション」や、訪問医療マッサージ「レイス治療院​ 港南」の運営を手掛けている。また、住宅型有料老人ホーム「朝と海と森と 磯子栗木」や訪問介護「ケアーズ港南台ヘルパーステーション」の運営も手掛ける。その他、リサイクル店の運営や人材紹介事業も実施する。
高齢者向け福祉業界の会社,高齢者や障がい者の介護サービスを行う。高齢者向けには訪問介護や通所介護サービスがある。障がい者介護サービスでは居宅介護や通所サービス、就労支援施設や放課後デイサービスなども行っている。
人材紹介業界の会社,逆求人型の新卒者用就職活動サイト「キミスカ」の運営や、学生と企業の顔合わせイベント「キミスカLIVE」の開催を手掛ける。また、飲食業界専門の求人サイト「エフジョブ」を運営するほか、調理師専門学校の卒業生徒を対象とした求人プラットフォーム「エフジョブスクール」の運営を行う。
居住用リフォーム業界の会社,東京都足立区、葛飾区を中心に住宅の増改築・リフォーム工事を施工している会社。屋根・外壁改修のほか土台補修やベランダ・外構工事などを行う他、内装工事ではキッチン・浴室などの水回り作業も手がける。また、リフォームが原因による不具合に対して最大10年の保証期間を設けているのが特徴。
警備業界の会社,新潟県上越市にて、施設警備や交通誘導警備および雑踏警備などを行っている。また、イベント警備やJR東日本などの列車見張り業務も手掛ける。
高齢者向け福祉業界の会社,高齢者への身体介護や生活援助といった訪問介護サービスのほか、障害者総合支援として居宅介護や重度訪問介護、外出時の同行支援などを手掛ける。加えて、放課後等デイサービスも運営しており、レクリエーションや学習支援を行う。
Webサービス・アプリ運営業界の会社,自社採用サイト導入支援サービス「OMROS」を手がける。サービスには応募獲得促進システム「AAA」を使用している。その他、インターンシップ検索プラットフォーム「JEEK」や求人サイト「ジョブハウス」を運営する。
ゴルフ場業界の会社,丘陵地や林間でゴルフを行えるゴルフ場「東筑波カントリークラブ」を運営する。また、競技会を開催。さらに、施設内のレストランでランチメニューなどを提供する。
高齢者向け福祉業界の会社,身体介護や生活援助などの介護保険訪問介護、重度訪問介護を行う。また、訪問看護も手掛ける。
高齢者向け福祉業界の会社,老人福祉施設「ショートステイ陽だまり」の運営を行っている。
タクシー業界の会社,三和交通株式会社のグループ会社として、埼玉県和光市や朝霞市ならびに志木市などでタクシーの運行を行う。インターネット配車に対応するほか、観光タクシーおよび福祉タクシーの運行や社内での携帯電話充電サービスの提供も手掛ける。
ホテル・旅館業界の会社,大阪府堺市で「堺サンホテル石津川」・「サンホテル尼崎」の２つのビジネスホテルを展開している。ホテル内に店やテナントを入れず宿泊に特化していることを強みとする。
警備業界の会社,宮城県登米市に事業所を構え、雑踏警備や交通警備などを請け負っている。
美容サロン業界の会社,門前仲町や築地にてヘアーサロン「CHEVEUX」の運営を行っている。カットやパーマならびにデジタルパーマ、カラーリングやトリートメントなどの施術の提供を行う。その他、縮毛矯正やヘッドスパにも対応。
タクシー業界の会社,神社の鳥居や巫女の袴を連想させる「緋色」がイメージカラーである「都タクシー」を京都で展開している。電気自動車やハイブリッド車など、環境に配慮したエコカーの運行も行う。「介護福祉タクシー」「子育てタクシー」を展開しているほか、「都観光バス」の運行も手掛ける。
警備業界の会社,交通誘導警備員や工事に伴う誘導警備を行う。併せてイベント開催時における雑踏の警備も行っている。防犯抑止パトロールなども手がける。
警備業界の会社,福岡エリアを中心に、施設内や交通誘導などの警備を行っている。福岡県内のイベントの警備も請け負う。
美容サロン業界の会社,愛知県豊橋市および豊川市を中心に美容サロンを展開している。カットやトリートメント以外に、アイラッシュおよびネイルサロンも併設する。その他、ヘアアレンジやヘアセットにも対応し、七五三や成人式の着付けも請け負う。また、美容サロンには託児ルームを設置している。
金属部品製造業界の会社,栃木県塩谷郡において、自動車用の各種線ばねや板ばねの製造およびその他自動車関連部品の製造を手掛ける。また、輸送用機械器具の製造も行う。その他、スプリングの製造や加工および販売にも対応。
警備業界の会社,八戸市を拠点に各種警備業務を行う。交通誘導警備やイベント会場などの常駐警備、雑踏警備業務および、巡回警備などを扱っている。また、列車見張業務なども行っている。
居酒屋・バー業界の会社,鮮魚とてんぷらを売りにした居酒屋「魚河岸本舗 ぴち天」や、「立喰い寿司 ピチマル」などの寿司店、和食の「料理屋 錦三山車楼」などの飲食店を運営する。どの店舗においても、毎朝仕入れた新鮮な食材を使用する点が特徴。
タクシー業界の会社,「長野観光グループ」の会社の一つで主にタクシー事業を行っている。一般的なタクシーのほかに高齢者や障がい者を対処とした介護タクシーの導入をしており、介護の専門的な知識と経験を有したドライバーを揃えている。病院までの送迎に加えて病院内での付き添いから着替えの手伝えを行うサービスも提供する。
美容サロン業界の会社,美容サロンの運営に取り組んでおり、髪質改善やEGF美肌再生エステなどを手掛けている。また、ウォーターケアによるネイルケアをベースに甘皮処理などのハンドケアやフットケアを行う。その他、まつエクやまつ毛パーマなどのアイラッシュにも対応。
タクシー業界の会社,主に企業や団体などが所有する自家用自動車の管理の請負及び運転士の配属を手掛けている。提供しているサービスの例として、役員運転士の業務委託や社用車の運行、監理の長期契約などがある。また、バス運転手の管理運行も行う。
美容サロン業界の会社,「ネイル&まつげエクステ Terra 新宿店」「ネイルサロン Terra Blue 渋谷店」などを運営している会社。また、ネイル関連グッズの開発や販売も行っている他、美容サロンの経営コンサルティングなども行う。
金属部品製造業界の会社,工業用ファスナーの総合メーカー、オチアイの子会社として、S形やR形止め輪などの工業用ファスナーの製造を手がけている。主に、自動車部品をはじめ家電製品や住宅設備などで使用され、金型の製作から製品出荷まで一貫体制で生産可能な点が強み。
自動車部品・カー用品製造業界の会社,自動車のダッシュボードやスピードメーターなどの計器盤部分に関するインストルメントパネルの製造をする。またドア内装部分であるドアトリムの製造、加工も行っている。
タクシー業界の会社,三重県内にてタクシー運行と賃貸マンションおよび月極駐車場の経営を行っている。タクシー運行では一般のタクシーの他、三重県内の観光コースを案内する観光タクシーを運行している。また賃貸ワンルームマンション「アンオゥル鵜の森」および県内11か所の月極駐車場を経営している。
タクシー業界の会社,小型から中型、大型タクシーなど様々なタクシーを保有しタクシー事業を運営する。また、顧客の車を目的地まで運転し顧客はタクシーで移動する運転代行を行う。その他、釧路観光プランなどの様々な観光地を巡るコースを設定した観光タクシー事業も手掛ける。
居住用リフォーム業界の会社,東京、神奈川など関東を拠点とし住宅の外壁などの塗装や各種リフォームを行っている会社。戸建住宅やアパートなどの外壁、屋根塗装だけでなく葺き替え、防水加工などにも対応している。また、浴室、トイレなど内装の各種リフォームにも幅広い実績がある。
高齢者向け福祉業界の会社,香川県高松市の香西東町エリアで介護サービス付き高齢者向けの住宅を運営。食事の提供や補助、入浴等の介護も手掛けている。またエレベーターも備えており、看護師も勤務しているため医療が必要な高齢者の受け入れも可能であることが強み。
警備業界の会社,ビル・マンションなどでの施設警備やデパート・商店などでの保安警備などセーフティーサービスを提供している。また、設備機械管理・清掃などの建物総合管理や、建物設備管理といったメンテナンスサービスも展開。その他、市街地開発や不動産仲介・売買などを手掛けるプロパティサービスも行っている。
自動車部品・カー用品製造業界の会社,主に自動車エンジン内のバブルシートやブレーキ、シフトレバーおよびトランスミッションの部品加工を行っている。また、自動車部品以外の金属にも対応しており、電車のパンタグラフや上水道用等様々な部品の加工も実施している。
タクシー業界の会社,神姫バスのグループ会社として、神戸市を中心にタクシーの運行を手掛ける。また、JR三ノ宮高架下の月極駐車場の運営も行う。
警備業界の会社,福井県福井市を拠点として、主に路上での交通誘導警備を行っている。また、ショッピングセンターやイベント等の駐車場の警備を請け負う。
自動車部品・カー用品製造業界の会社,株式会社オートバックスセブンと加盟店契約を結んでおり「オートバックス」のチェーン店を運営している。新車および中古車やタイヤなどの販売を行う。また自動車保険代理店業務および車検などにも対応。自動車の整備や鈑金なども手掛ける。
自動車部品・カー用品製造業界の会社,主にダイカストマシンを用いて、自動車部品やステアリングなどの製造および卸売を行う。また、金型や治工具などの設計や製作も手掛けている。
高齢者向け福祉業界の会社,訪問介護事業所および居宅介護支援事業所「ワンダフルサポート」の運営を行う会社。訪問介護員などが利用者宅を訪問し、食事・排せつなどの介助を行う身体介護や調理・掃除などを行う生活援助などを行っている。
高齢者向け福祉業界の会社,介護予防サービス「リフシア健康呼ぼう事業」を行っている。また、居宅介護支援や訪問介護も実施する。加えて、デイサービスやショートステイも提供する。その他に、グループホームやサービス付き高齢者向け住宅を運営する。
タクシー業界の会社,横浜エリアを中心として、タクシーの流し営業に加えて羽田空港への送迎などを請け負う。また、横浜ベイブリッジや山手公園など横浜の観光スポットを案内する観光タクシーなどのサービスも手掛ける。さらに、認定ガイドドライバーによる接客も行っている。
タクシー業界の会社,タクシーの無線配車や貸切およびジャンボタクシーの運行を行う。また、車イスが2台乗車可能なリフト付福祉車やホームヘルパー2級ドライバーが乗車する介護タクシーも運行している。
タクシー業界の会社,「東京タクシー」グループであり、足立区・世田谷区周辺でタクシー業務を行っている会社。ハイヤー専任乗務員によるハイヤーサービスも行っており、スポットから定期契約に対応している。また、29人乗り貸切バスも所有している。
自動車部品・カー用品製造業界の会社,ワイヤーハーネスなど、自動車向けの電気配線部品の製造を行っている。
ゴルフ場業界の会社,千葉県富里市にあるゴルフ場「久能カントリー倶楽部」を運営している会社。個室や中庭、レストランなどを併設しており、成田駅へのシャトルバスも運行しているのが特徴。
居酒屋・バー業界の会社,肉料理を中心に展開する「大衆ビストロジル」をはじめ、「大衆ビストロ煮ジル」「GONZO」「酒場シナトラ」といった飲食店を運営する。また、店舗の開業や運営、メニュー開発など飲食店経営に関するコンサルティングも手掛ける。
高齢者向け福祉業界の会社,訪問介護員が顧客の自宅へ訪問し介護する障害福祉サービスや訪問介護を行う。身体介護や生活援助、居宅介護支援および日常生活を送る上でのアドバイスを行う。その他、ケアマネジメントにも取り組んでおり介護全般の相談やケアプランの作成を請け負う。
居住用リフォーム業界の会社,マンションやアパートの営繕工事やリノベーション工事を中心に行う。定期清掃や貯水槽清掃などのビルメンテナンスも手がけるほか、外装工事や洗浄、ハウスクリーニングなども請け負う。また、建物のリース事業や老人ホーム運営も担っている。
警備業界の会社,大阪市平野区を拠点に、交通誘導などの警備を請け負う。
高齢者向け福祉業界の会社,高齢者向け福祉事業として、訪問介護や有料老人ホームの運営を手掛ける。また、障害者向け福祉事業として、居宅介護支援を手掛ける。
人材紹介業界の会社,労働者派遣事業および紹介予定派遣事業、ならびに有料職業紹介事業やアウトソーシング事業を手掛けている。モバイルショップの人材派遣に特化しており、入社後のOJT研修にも対応している。
自動車部品・カー用品製造業界の会社,自動車の部品の製造を手掛けている。主要な製品としては「トヨタクラウンオーバーヘッドコンソール」や「トヨタハリアーオーバヘッドコンソールシフトパネル」が挙げられる。
ホテル・旅館業界の会社,あわら温泉の温泉旅館「グランディア芳泉」を運営する。露天風呂付客室や大部屋、バリア フリーの客室など趣の違う部屋を33室用意。2017年にリニューアルした温泉大浴場「天上のSPA」や2016年10月には、別邸 個止吹気亭をオープンさせ、懐石料理や温泉たまご手作り体験などを提供している。
人材紹介業界の会社,熊本市を拠点に、人材派遣や労働者派遣を手掛ける。また、教育訓練や行政役務受託および人材紹介も請け負う。その他、助成金申請サービスに対応する。さらに、専門スタッフを派遣し臨時の託児コーナーを運営する「イベント保育・出張託児サービス」に対応。
金属部品製造業界の会社,制御盤やケースなどプレス加工品の試作から量産までを行う。また、穴あけやタッピング、溶接などの各種加工から、塗装及びメッキ、表面処理まで対応し、特に制御盤では筐体に加え電装に至る一貫生産を手掛ける。HPC工法やリークゼロ工法といった独自の加工法を開発し、兵庫県立大学とはチタン深絞り加工の共同研究を行っている。
金属部品製造業界の会社,鋼材やミガキシャフト、機械精密部品などを製造・販売・加工を行っている会社。特殊鋼などの鉄鋼製品に加えてアルミやチタンなどの非鉄金属も販売している。ガス機器部品や自動車部品、労働安全衛生用品なども製造・加工する。
ゴルフ場業界の会社,ゴルフ場の建設およびゴルフ場の「芥屋ゴルフ倶楽部」の運営を手掛ける。Webサイトにてゴルフの予約を24時間で受付対応。また、運営するゴルフ場で例年「オーガスタゴルフトーナメント」が開催されることが特徴。
タクシー業界の会社,首都圏を拠点とし、タクシー事業や貸切バス事業を手掛ける飛鳥交通グループの本社である。また、LPガス事業を担う飛鳥ガス株式会社や自動車整備を行う関東メカニック株式会社等も傘下としている。その他、自動車教習事業や車両特装事業のほか、療術士等専門校の運営や不動産仲介および管理事業なども展開。
金属部品製造業界の会社,茨城県東茨城郡エリアにおいて、エレベーターおよびエスカレーター部品の製造を手掛ける。また、金属加工品の塗装も行う。
タクシー業界の会社,東京無線グループに加盟しており、東京23区を中心に武蔵野市、三鷹市でタクシー事業を行う。事故数などの情報をWebサイト上で公開している。
高齢者向け福祉業界の会社,通所介護や訪問介護、居宅介護といった介護サービス事業を手掛けている会社である。主に洗顔や着替え、食事といった日常生活のサポートを行う。その他に、サービス付き高齢者向け住宅「相馬の里」の運営も行っている。
ホテル・旅館業界の会社,松藤グループに所属する企業として、主にIHG・ANAホテルの「ANAクラウンプラザホテル長崎グラバーヒル」を運営する。デラックス、スーペリアやスタンダードのフロアプランを有し、宿泊サービスを提供する。また、ホテル内にはレストランや宴会場も備えており、ウェディングなどの各種行事に応じたサービスも行う。
金属部品製造業界の会社,継手類の切削加工やパイプの曲げ加工や絞り加工、ろう付けを行いモジュール化した製品を製造する。銅やステンレス、アルミ、真鍮などの素材に対応し、主な製品には、ガスや水の分流品や給湯器部品、空調機部品などがある。
Webサービス・アプリ運営業界の会社,「絶対続く！ダイエット」等のスマートフォンアプリの開発を手掛ける。また、エンジニア向け求人情報サイト「フリーエンジニアなび」の運営および管理も行っている。その他に、ソリューション事業として、オンサイト開発やECサイトなどの受託開発なども請け負う。
居住用リフォーム業界の会社,屋根工事や外壁塗装、キッチン交換などの住宅リフォーム全般を手がける。また、太陽光パネルや蓄電池の設置事業も行っており、販売・設置後も設備のメンテナンスのサポートをしている。その他、戸建住宅向けの会員制サービス「Zuttoホームサポート」に加入している顧客向けにハウスメンテナンスを行う。
ホテル・旅館業界の会社,宮崎県日向市においてホテルの運営を手掛けている。シングルからスイートまで各種客室があり、ホテル内のレストランでは日向灘で取れた魚介類を使用した料理を提供する。その他ブライダル事業も行っており、婚礼会場や料理、ウェディングドレスの提供を手掛ける。
自動車部品・カー用品製造業界の会社,ベアリング内外輪の切削加工やNC旋盤による加工を行っている。
ホテル・旅館業界の会社,「ホテルニューオータニ鳥取」の運営を行う。ホテル内のレストランや結婚式場、貸会議室などの運営も手掛けており、ウエディングや会議、宴会などにも対応。
金属部品製造業界の会社,スプリングやばね、シャッターなどの金属部品を主に製造している。札幌にも工場を持ち、製造後の加工や、工場で梱包及び発送など行う。
高齢者向け福祉業界の会社,在宅型有料老人ホームとデイサービス及び訪問介護サービスを提供している。有料老人ホームでは、個々に合った介護生活を提供しすると共に看取りケアも行う。また、夜間帯にも看護師を配置しているのが特徴。デイサービスでは、モノ作りを中心に、認知症予防の機能訓練やレクリエーション及びクラブ活動など実施する。
タクシー業界の会社,和歌山で、24時間年中無休のタクシー事業を行う会社。ガイドを行う観光ハイヤーや、助産医の講習を受けたドライバーが病院までサポートするママケアタクシーなどの配車も行う。小型・中型・ジャンボタクシーの他、ハイグレード車両も導入している。
水産物食品専門商社業界の会社,鮮魚介類および一般食料品の卸売を行う。部門で分かれており、大物課ではマグロやカツオなどを中心に、鮮魚課では国内産、輸入物の生魚全般及び貝類全般、並びに佃煮などの加工物を扱っている。また、冷凍課では国内及び輸入冷凍魚全般を、塩干課では主に各種干物や練製品などを扱う。
高齢者向け福祉業界の会社,高齢者住宅紹介サービスを提供し、相談者に適した介護施設の紹介を手掛ける。また、支援相談者が施設訪問する際の老人ホームまでの送迎や現地同行ならびに入居手続きなども行う。その他、介護離職予防コンサルティングや介護関連M&Aサポート、LGBTコンサルティングなどにも対応する。
警備業界の会社,高速道や一般道路、工事現場での交通誘導警備およびイベントやコンサートなどの警備を行っている。また、官公庁や大型商業施設での施設常駐警備や、空港保安警備にも対応。その他、保安資機材のレンタルリースや、コインパーキングにおける障害対応業務も手掛ける。
ホテル・旅館業界の会社,海鮮を中心とした懐石料理を提供する、温泉旅館「福寿荘」の運営を行う。温泉には庭園露天風呂や展望大浴場、足湯などがあり、日帰り利用も可能。また、ヘッドスパやアロマエステ、マッサージなどのエステサービスも提供する。
ホテル・旅館業界の会社,秋保温泉のホテル「華乃湯」の運営を手掛けている。バーカウンター「華」やエステサロン「花」の他、プールやグラウンドゴルフ場を併設している。また送迎バスの運行も行っており、仙台駅や近隣への送迎を行う。
Webサービス・アプリ運営業界の会社,近隣のバイク買取会社へ一括査定依頼をすることができる「バイク比較.com」などのWebサイトの運営を行う会社。また、格安スマホ・格安SIMの10社以上を比較できる「すまっぴー」や、結婚式準備サイト「marry」の運営も手がけている。
自動車部品・カー用品製造業界の会社,自動車試作部品加工や特殊機能部品加工などを行っている会社である。自社で多数の機械を所有し、エンジンやトランスミッションなどの試作部品加工や省力化設備の設計製作を得意としているのが特徴。
高齢者向け福祉業界の会社,デイサービス及び有料老人ホーム「ひだまり下田」に本社がある。サービス付き高齢者向け住宅「ひだまり広角」、デイサービス及び有料老人ホーム「ひだまり紀宝」、高齢者住宅「ひだまり湯川」などの介護施設の運営を行なっている。また、訪問介護や居宅支援事業の介護サービスも行なっている。
ホテル・旅館業界の会社,伊香保温泉の温泉旅館「お宿 玉樹」の運営を行っている会社。硫酸塩泉とメタケイ酸泉使用の大浴場の他、スチームミストやサウナも備えた大浴場や貸切露天風呂、岩盤浴を併設している。
ホテル・旅館業界の会社,「ホテルグランヴィア岡山」を運営する。また、フランス料理や鉄板焼等のレストラン、スカイラウンジ及びバーなどの運営も手掛ける。宿泊だけでなく、宴会や会議、ホテルウェディングにも対応。
ゴルフ場業界の会社,「六甲国際ゴルフ倶楽部」という会員制のゴルフ倶楽部を経営している会社である。このコースではゴルフの主要大会が開催された実績もある。また、同じ施設においてレストランの経営を行っている他、倶楽部の環境を活かしたゴルフスクールなども開校している。
タクシー業界の会社,タクシーを運行する。また、福祉タクシーの運行を取り扱う。
自動車部品・カー用品製造業界の会社,主にシートなどの自動車用内装部品の製造を行っている。自社で開発したフレームラミネート機で、特殊なウレタンを熱で溶かし接着させるラミネート工法による加工を行う。また、新幹線の壁材やフローリング材、窓用パネル「ジーベスト」なども製造する。
警備業界の会社,ALSOK岩手株式会社の関連企業として、施設警備や交通誘導警備を手掛ける。さらに、ビルの清掃ならびに総合管理を実施するほか、防災機器や防犯機器の設置販売を行っている。
自動車部品・カー用品製造業界の会社,静岡県浜松市を拠点に、自動車部品や自動車用品の製造を手掛ける。
自動車部品・カー用品製造業界の会社,大阪銘板株式会社の子会社としてインパラやピラー、トリム等の自動車用内外装部品の製造を行っている。金型の製作と成形から組立て、出荷まで一貫した生産体制を保持していることが特徴。
高齢者向け福祉業界の会社,高齢者デイサービス「シルビアン通所介護事業所」や有料老人ホーム「シルファイン繁多川」の運営を行う。また、障害者向けの相談支援サービスや訪問介護サービスも手掛ける。その他、児童デイサービスとして「シルビアンスポレクセンター真地」も展開。
自動車部品・カー用品製造業界の会社,キーロックなどの自動車部品メーカーである株式会社アルファのグループ会社である。福岡に拠点を置き自動車部品の製造を行っている。そして、キーセットやアウトサイドハンドル、インサイドハンドルならびにブラケットを取り扱う。
居酒屋・バー業界の会社,モツ焼や煮込み、レバ刺等のメニューを提供する居酒屋「でん」を運営する会社。その他、イカ料理をメインとする「いかのでん」も運営。東京食肉市場で仕入れた内臓肉をその日のうちに売り切ることで新鮮さを保っているのが強み。
自動車部品・カー用品製造業界の会社,自動車用バッテリーを始め、自動車空調向けのフロンガス回収装置や、事故車修理用スタット・スポット溶接機などの開発・製造を行っている。大阪ものづくり優良企業賞2009「匠」の受賞実績があり、またEV用急速充電器も「関西ものづくり新撰2014」に選定された。
人材紹介業界の会社,名古屋市東区を拠点に、人材コンサルティングや営業支援などを行う。主に介護および福祉、製造やITなどの業種に対応し、企業の問題点の解決に向けてのサポート業務を行う。
ホテル・旅館業界の会社,「芝パークホテル」と姉妹ホテル「パークホテル東京」の運営をしている。ホテル内にはパーティーや会議・セミナーのできる会場があり、オプションでマイクやホワイトボードなどの貸し出しも行っている。Webサイトから宿泊予約可能。また高級中国料理店、中國料理「北京」も運営している。
高齢者向け福祉業界の会社,東京中野区を拠点に、高齢者や障害者向けの在宅介護支援や、重度訪問介護および難病支援の介護派遣サービスを手掛ける。
Webサービス・アプリ運営業界の会社,東京都を拠点として、家電や日用品、食品などの口コミ情報の提供を行うWebサイト「ランク王」の運営を行う。
タクシー業界の会社,飛鳥交通グループ会社の一つであり、東京都世田谷区にある成城営業所を拠点にタクシー事業を営む会社である。一般タクシーの他、福祉タクシーも保有する。低公害車の導入やエコドライブを推進し、地球環境の保護に取り組む。また、空港送迎や妊婦支援などのサービスがある。
タクシー業界の会社,香川県の丸亀市、坂出市、高松市でタクシー事業を行っている。一般的なタクシー車両から、9人乗りのジャンボタクシーや車椅子対応の介護タクシーまで多様な車両を運用。また、観光バス事業も手掛けている。その他、飲酒時の自転車の同時搬送「チャリタク」を行っているのが特徴。
居住用リフォーム業界の会社,住宅のリフォームや増改築、塗装工事及び下水道工事を行う。水廻りリフォームから内装工事及び外装工事、介護リフォームまで手掛ける。その他、エクステリア工事や太陽光パネルの設置なども行っている。
警備業界の会社,日本原燃グループの一員として、原子燃料サイクル施設の警備を行なっている。また、原子燃料サイクル施設の構内において、原子燃料サイクル施設における自衛消防を行う。その他、原子燃料サイクル施設における傷病者搬送を手掛ける。
食品店業界の会社,フルーツギフトの販売や、ジュース及びケーキなど加工品の製造や販売を行っている。フルーツは、マスクメロンをはじめイチゴやさくらんぼなどのフルーツを扱う。加工品は、フルーツジュースやケーキ、デザートなどを店舗およびECサイトにて販売している。加えて、ケーキのオーダーメイドにも対応する。
警備業界の会社,交通誘導や大型施設などの駐車場の誘導及びイベントなどの警備を手掛ける。また、常駐警備や保安警備、臨時警備などにも取り組む。その他、列車監視員も請け負う。
